Date,rf
2022-03-23,0.02321000099182129
2022-03-24,0.023410000801086427
2022-03-25,0.02492000102996826
2022-03-28,0.024769999980926515
2022-03-29,0.024000000953674317
2022-03-30,0.023580000400543213
2022-03-31,0.023269999027252197
2022-04-01,0.02377000093460083
2022-04-04,0.024119999408721924
2022-04-05,0.025559999942779542
2022-04-06,0.026089999675750732
2022-04-07,0.026519999504089356
2022-04-08,0.027130000591278076
2022-04-11,0.027799999713897704
2022-04-12,0.027249999046325683
2022-04-13,0.02687000036239624
2022-04-14,0.028280000686645507
2022-04-18,0.02861999988555908
2022-04-19,0.029130001068115235
2022-04-20,0.028399999141693114
2022-04-21,0.029170000553131105
2022-04-22,0.029059998989105225
2022-04-25,0.028259999752044677
2022-04-26,0.027720000743865967
2022-04-27,0.02818000078201294
2022-04-28,0.0286299991607666
2022-04-29,0.028870000839233398
2022-05-02,0.029960000514984132
2022-05-03,0.029600000381469725
2022-05-04,0.029170000553131105
2022-05-05,0.03065999984741211
2022-05-06,0.03122999906539917
2022-05-09,0.030789999961853026
2022-05-10,0.029930000305175782
2022-05-11,0.02921000003814697
2022-05-12,0.028169999122619627
2022-05-13,0.029349999427795412
2022-05-16,0.02877000093460083
2022-05-17,0.029679999351501465
2022-05-18,0.028859999179840088
2022-05-19,0.028550000190734864
2022-05-20,0.027869999408721924
2022-05-23,0.02858999967575073
2022-05-24,0.027599999904632567
2022-05-25,0.02749000072479248
2022-05-26,0.0275600004196167
2022-05-27,0.02743000030517578
2022-05-31,0.028440001010894774
2022-06-01,0.02930999994277954
2022-06-02,0.029130001068115235
2022-06-03,0.02957000017166138
2022-06-06,0.030380001068115236
2022-06-07,0.029719998836517336
2022-06-08,0.030290000438690186
2022-06-09,0.030439999103546143
2022-06-10,0.03155999898910523
2022-06-13,0.03365999937057495
2022-06-14,0.03483000040054321
2022-06-15,0.033949999809265136
2022-06-16,0.03306999921798706
2022-06-17,0.032390000820159914
2022-06-21,0.03306999921798706
2022-06-22,0.03155999898910523
2022-06-23,0.03068000078201294
2022-06-24,0.03125
2022-06-27,0.03194000005722046
2022-06-28,0.03206000089645386
2022-06-29,0.030929999351501467
2022-06-30,0.029719998836517336
2022-07-01,0.028889999389648438
2022-07-05,0.02809000015258789
2022-07-06,0.029130001068115235
2022-07-07,0.03007999897003174
2022-07-08,0.031010000705718993
2022-07-11,0.029909999370574952
2022-07-12,0.029579999446868895
2022-07-13,0.029040000438690185
2022-07-14,0.029600000381469725
2022-07-15,0.02930000066757202
2022-07-18,0.029600000381469725
2022-07-19,0.030190000534057616
2022-07-20,0.030360000133514406
2022-07-21,0.029100000858306885
2022-07-22,0.027829999923706054
2022-07-25,0.028199999332427977
2022-07-26,0.027869999408721924
2022-07-27,0.027339999675750733
2022-07-28,0.02680999994277954
2022-07-29,0.026419999599456786
2022-08-01,0.026059999465942382
2022-08-02,0.02740999937057495
2022-08-03,0.02747999906539917
2022-08-04,0.026760001182556153
2022-08-05,0.028399999141693114
2022-08-08,0.027650001049041747
2022-08-09,0.02796999931335449
2022-08-10,0.027860000133514404
2022-08-11,0.028880000114440918
2022-08-12,0.028489999771118164
2022-08-15,0.027909998893737794
2022-08-16,0.028239998817443848
2022-08-17,0.028929998874664308
2022-08-18,0.02880000114440918
2022-08-19,0.029890000820159912
2022-08-22,0.030369999408721923
2022-08-23,0.03053999900817871
2022-08-24,0.031059999465942383
2022-08-25,0.030260000228881836
2022-08-26,0.030350000858306886
2022-08-29,0.031099998950958253
2022-08-30,0.031099998950958253
2022-08-31,0.03132999897003174
2022-09-01,0.03265000104904175
2022-09-02,0.03193000078201294
2022-09-06,0.033399999141693115
2022-09-07,0.03265000104904175
2022-09-08,0.0329200005531311
2022-09-09,0.03321000099182129
2022-09-12,0.03361999988555908
2022-09-13,0.03421999931335449
2022-09-14,0.03411999940872192
2022-09-15,0.03459000110626221
2022-09-16,0.03447999954223633
2022-09-19,0.03490000009536743
2022-09-20,0.03571000099182129
2022-09-21,0.03509999990463257
2022-09-22,0.0370799994468689
2022-09-23,0.03697000026702881
2022-09-26,0.038780000209808346
2022-09-27,0.039639999866485594
2022-09-28,0.037049999237060545
2022-09-29,0.03746999979019165
2022-09-30,0.03803999900817871
2022-10-03,0.03651000022888184
2022-10-04,0.036170001029968264
2022-10-05,0.03759000062942505
2022-10-06,0.03825999975204468
2022-10-07,0.03882999897003174
2022-10-10,0.03888000011444092
2022-10-11,0.03938999891281128
2022-10-12,0.03901999950408935
2022-10-13,0.0395199990272522
2022-10-14,0.04010000228881836
2022-10-17,0.040149998664855954
2022-10-18,0.03997999906539917
2022-10-19,0.04126999855041504
2022-10-20,0.0422599983215332
2022-10-21,0.04212999820709228
2022-10-24,0.04234000205993652
2022-10-25,0.04107999801635742
2022-10-26,0.040149998664855954
2022-10-27,0.03937000036239624
2022-10-28,0.04010000228881836
2022-10-31,0.04077000141143799
2022-11-01,0.040520000457763675
2022-11-02,0.04059000015258789
2022-11-03,0.04124000072479248
2022-11-04,0.041560001373291015
2022-11-07,0.04214000225067139
2022-11-08,0.04125999927520752
2022-11-09,0.041510000228881835
2022-11-10,0.038289999961853026
2022-11-11,0.03812999963760376
2022-11-14,0.03865000009536743
2022-11-15,0.03799000024795532
2022-11-16,0.03691999912261963
2022-11-17,0.03775000095367432
2022-11-18,0.03818000078201294
2022-11-21,0.03825000047683716
2022-11-22,0.03757999897003174
2022-11-23,0.03706000089645386
2022-11-25,0.03690999984741211
2022-11-28,0.037030000686645505
2022-11-29,0.03747999906539917
2022-11-30,0.037030000686645505
2022-12-01,0.03529000043869018
2022-12-02,0.035060000419616696
2022-12-05,0.035989999771118164
2022-12-06,0.03513000011444092
2022-12-07,0.034079999923706056
2022-12-08,0.03490999937057495
2022-12-09,0.03566999912261963
2022-12-12,0.036110000610351564
2022-12-13,0.035009999275207516
2022-12-14,0.03503000020980835
2022-12-15,0.034500000476837156
2022-12-16,0.034820001125335696
2022-12-19,0.03581000089645386
2022-12-20,0.03684000015258789
2022-12-21,0.03684000015258789
2022-12-22,0.036689999103546145
2022-12-23,0.03750999927520752
2022-12-27,0.03859999895095825
2022-12-28,0.0388700008392334
2022-12-29,0.038350000381469726
2022-12-30,0.038789999485015866
2023-01-03,0.037929999828338626
2023-01-04,0.037090001106262205
2023-01-05,0.03720000028610229
2023-01-06,0.03569000005722046
2023-01-09,0.03516999959945679
2023-01-10,0.03621000051498413
2023-01-11,0.03553999900817871
2023-01-12,0.03448999881744385
2023-01-13,0.03510999917984009
2023-01-17,0.03535000085830688
2023-01-18,0.03375
2023-01-19,0.03397000074386597
2023-01-20,0.03483999967575073
2023-01-23,0.03525000095367432
2023-01-24,0.034690001010894776
2023-01-25,0.03461999893188476
2023-01-26,0.03493000030517578
2023-01-27,0.0351799988746643
2023-01-30,0.03551000118255615
2023-01-31,0.03529000043869018
2023-02-01,0.03397000074386597
2023-02-02,0.033959999084472656
2023-02-03,0.03532000064849854
2023-02-06,0.03634000062942505
2023-02-07,0.036740000247955325
2023-02-08,0.036530001163482664
2023-02-09,0.03683000087738037
2023-02-10,0.0374399995803833
2023-02-13,0.037170000076293945
2023-02-14,0.037609999179840085
2023-02-15,0.03809000015258789
2023-02-16,0.038429999351501466
2023-02-17,0.038280000686645506
2023-02-21,0.03954999923706055
2023-02-22,0.0392300009727478
2023-02-23,0.038789999485015866
2023-02-24,0.03948999881744385
2023-02-27,0.039219999313354494
2023-02-28,0.039159998893737794
2023-03-01,0.0399399995803833
2023-03-02,0.04072999954223633
2023-03-03,0.039639999866485594
2023-03-06,0.039830000400543214
2023-03-07,0.03974999904632568
2023-03-08,0.039760000705718994
2023-03-09,0.03924999952316284
2023-03-10,0.03694999933242798
2023-03-13,0.03515000104904175
2023-03-14,0.03638000011444092
2023-03-15,0.03492000102996826
2023-03-16,0.035850000381469724
2023-03-17,0.033949999809265136
